Time,LogitFit,LogitSE
12.7087087,-0.1968375,0.020827
12.7327327,-0.1973842,0.0208511
12.7567568,-0.1979298,0.0208759
12.7807808,-0.1984742,0.0209013
12.8048048,-0.1990175,0.0209273
12.8288288,-0.1995598,0.0209539
12.8528529,-0.2001011,0.020981
12.8768769,-0.2006414,0.0210088
12.9009009,-0.2011808,0.0210371
12.9249249,-0.2017193,0.021066
12.9489489,-0.202257,0.0210954
12.972973,-0.2027938,0.0211254
12.996997,-0.2033299,0.021156
13.021021,-0.2038652,0.0211872
13.045045,-0.2043999,0.0212189
13.0690691,-0.2049339,0.0212511
13.0930931,-0.2054673,0.0212839
13.1171171,-0.2060001,0.0213172
13.1411411,-0.2065324,0.021351
13.1651652,-0.2070642,0.0213854
13.1891892,-0.2075956,0.0214202
13.2132132,-0.2081266,0.0214556
13.2372372,-0.2086571,0.0214915
13.2612613,-0.2091874,0.0215279
13.2852853,-0.2097173,0.0215648
13.3093093,-0.210247,0.0216021
13.3333333,-0.2107765,0.02164
13.3573574,-0.2113058,0.0216783
13.3813814,-0.211835,0.0217171
13.4054054,-0.2123641,0.0217563
13.4294294,-0.2128931,0.021796
13.4534535,-0.2134222,0.0218362
13.4774775,-0.2139512,0.0218767
13.5015015,-0.2144803,0.0219178
13.5255255,-0.2150095,0.0219592
13.5495495,-0.2155389,0.022001
13.5735736,-0.2160684,0.0220433
13.5975976,-0.2165982,0.022086
13.6216216,-0.2171282,0.022129
13.6456456,-0.2176585,0.0221724
13.6696697,-0.2181892,0.0222163
13.6936937,-0.2187202,0.0222605
13.7177177,-0.2192517,0.022305
13.7417417,-0.2197836,0.0223499
13.7657658,-0.2203161,0.0223952
13.7897898,-0.220849,0.0224407
13.8138138,-0.2213826,0.0224867
13.8378378,-0.2219168,0.0225329
13.8618619,-0.2224516,0.0225795
13.8858859,-0.2229871,0.0226263
13.9099099,-0.2235234,0.0226735
13.9339339,-0.2240604,0.022721
13.957958,-0.2245983,0.0227687
